,title,addr,score,lng,lat
232,라오빠빠,서울 송파구 송이로17길 57 1층,4.7,127.12531690554,37.5020661794162
233,카페 페퍼,서울 송파구 백제고분로45길 12 2층,4.3,127.110151992824,37.5096256769585
234,쭈꾸미도사 잠실새내점,서울 송파구 백제고분로7길 30 1층,4.6,127.082184987261,37.5106745999663
235,통큰갈비 잠실신천점,서울 송파구 백제고분로7길 28-11 영동빌딩,3.2,127.082277858393,37.5102727775037
236,철판구이300도씨 신천본점,서울 송파구 백제고분로7길 28-17,4.0,127.082348994706,37.5099577368162
237,시루나무 문정본점,서울 송파구 새말로 134,4.1,127.128833865415,37.4829769123873
238,만옥당,서울 송파구 백제고분로45길 9 2층,3.3,127.110196782728,37.5093183927357
239,잉클링,서울 송파구 양재대로60길 3-5 보우빌딩 1층,4.0,127.116866834025,37.498792387939
240,라화쿵부 개롱점,서울 송파구 오금로46길 20,4.1,127.134972963035,37.4957720180583
241,완도산회 문정점,서울 송파구 문정로 29,3.2,127.126037780549,37.4864679099405
242,주문진해물한상,서울 송파구 오금로19길 9,3.7,127.113601114489,37.5107534406596
243,라오빠빠,서울 송파구 송이로17길 57 1층,4.7,127.12531690554,37.5020661794162
244,카페 페퍼,서울 송파구 백제고분로45길 12 2층,4.3,127.110151992824,37.5096256769585
245,쭈꾸미도사 잠실새내점,서울 송파구 백제고분로7길 30 1층,4.6,127.082184987261,37.5106745999663
246,통큰갈비 잠실신천점,서울 송파구 백제고분로7길 28-11 영동빌딩,3.2,127.082277858393,37.5102727775037
247,철판구이300도씨 신천본점,서울 송파구 백제고분로7길 28-17,4.0,127.082348994706,37.5099577368162
248,시루나무 문정본점,서울 송파구 새말로 134,4.1,127.128833865415,37.4829769123873
249,만옥당,서울 송파구 백제고분로45길 9 2층,3.3,127.110196782728,37.5093183927357
250,잉클링,서울 송파구 양재대로60길 3-5 보우빌딩 1층,4.0,127.116866834025,37.498792387939
251,라화쿵부 개롱점,서울 송파구 오금로46길 20,4.1,127.134972963035,37.4957720180583
252,내꾸미쭈꾸미 본점,서울 송파구 성내천로 106,3.6,127.140087101357,37.4997420226467
253,젠,서울 송파구 오금로18길 8 1층 102호,3.6,127.110474245371,37.5100990339077
254,문어세상해천탕 잠실본점,서울 송파구 오금로 169,3.3,127.113539443444,37.5099133136467
